nohup: ignoring input
HTTP Server is running on port 80
HTTPS Server is running on port 443
Successfully connected to MongoDB
Got blogs
[2025-11-11T14:52:00.096Z] Blocked suspicious request from 62.169.18.6: GET /.env.backup
[2025-11-11T14:52:00.148Z] Blocked suspicious request from 62.169.18.6: GET /website/.env.staging
[2025-11-11T14:52:00.208Z] Blocked suspicious request from 62.169.18.6: GET /web/.env.local
[2025-11-11T14:52:00.258Z] Blocked suspicious request from 62.169.18.6: GET /api/.env.production
[2025-11-11T14:52:00.315Z] Blocked suspicious request from 62.169.18.6: GET /current/.env.staging
[2025-11-11T14:52:00.367Z] Blocked suspicious request from 62.169.18.6: GET /old/.env
[2025-11-11T14:52:00.417Z] Blocked suspicious request from 62.169.18.6: GET /apps/.env
[2025-11-11T14:52:00.475Z] Blocked suspicious request from 62.169.18.6: GET /FRONT/.env
[2025-11-11T14:52:00.529Z] Blocked suspicious request from 62.169.18.6: GET /backup/.env.local
[2025-11-11T14:52:00.591Z] Blocked suspicious request from 62.169.18.6: GET /.env.production
[2025-11-11T14:52:00.646Z] Blocked suspicious request from 62.169.18.6: GET /node/.env
[2025-11-11T14:52:00.699Z] Blocked suspicious request from 62.169.18.6: GET /.env.production.local
[2025-11-11T14:52:00.751Z] Blocked suspicious request from 62.169.18.6: GET /kyc/.env
[2025-11-11T14:52:00.807Z] Blocked suspicious request from 62.169.18.6: GET /dev/.env
[2025-11-11T14:52:00.865Z] Blocked suspicious request from 62.169.18.6: GET /marketing/.env.staging
[2025-11-11T14:52:00.923Z] Blocked suspicious request from 62.169.18.6: GET /storage/.env
[2025-11-11T14:52:00.976Z] Blocked suspicious request from 62.169.18.6: GET /laravel/.env.staging
[2025-11-11T14:52:01.028Z] Blocked suspicious request from 62.169.18.6: GET /production/.env.staging
[2025-11-11T14:52:01.083Z] Blocked suspicious request from 62.169.18.6: GET /demo/.env.local
[2025-11-11T14:52:01.138Z] Blocked suspicious request from 62.169.18.6: GET /old/.env.staging
[2025-11-11T14:52:01.194Z] Blocked suspicious request from 62.169.18.6: GET /website/.env.production
[2025-11-11T14:52:01.247Z] Blocked suspicious request from 62.169.18.6: GET /develop/.env.production
[2025-11-11T14:52:01.299Z] Blocked suspicious request from 62.169.18.6: GET /API/.env
[2025-11-11T14:52:01.351Z] Blocked suspicious request from 62.169.18.6: GET /storage/.env.production
[2025-11-11T14:52:01.406Z] Blocked suspicious request from 62.169.18.6: GET /public_html/.env.production
[2025-11-11T14:52:01.461Z] Blocked suspicious request from 62.169.18.6: GET /develop/.env.local
[2025-11-11T14:52:01.511Z] Blocked suspicious request from 62.169.18.6: GET /services/.env.production
[2025-11-11T14:52:01.560Z] Blocked suspicious request from 62.169.18.6: GET /services/.env.local
[2025-11-11T14:52:01.613Z] Blocked suspicious request from 62.169.18.6: GET /back/.env
[2025-11-11T14:52:01.671Z] Blocked suspicious request from 62.169.18.6: GET /qa/.env
[2025-11-11T14:52:01.726Z] Blocked suspicious request from 62.169.18.6: GET /frontend/.env
[2025-11-11T14:52:01.777Z] Blocked suspicious request from 62.169.18.6: GET /dev/.env.staging
[2025-11-11T14:52:01.830Z] Blocked suspicious request from 62.169.18.6: GET /demo/.env.staging
[2025-11-11T14:52:01.886Z] Blocked suspicious request from 62.169.18.6: GET /website/.env.local
[2025-11-11T14:52:01.940Z] Blocked suspicious request from 62.169.18.6: GET /stg/.env.production
[2025-11-11T14:52:01.994Z] Blocked suspicious request from 62.169.18.6: GET /web/.env.production
[2025-11-11T14:52:02.047Z] Blocked suspicious request from 62.169.18.6: GET /.env.docker.dev
[2025-11-11T14:52:02.102Z] Blocked suspicious request from 62.169.18.6: GET /storage/.env.staging
[2025-11-11T14:52:02.151Z] Blocked suspicious request from 62.169.18.6: GET /product/.env.production
[2025-11-11T14:52:02.209Z] Blocked suspicious request from 62.169.18.6: GET /shop/.env
[2025-11-11T14:52:02.260Z] Blocked suspicious request from 62.169.18.6: GET /user/.env.local
[2025-11-11T14:52:02.317Z] Blocked suspicious request from 62.169.18.6: GET /old/.env.production
[2025-11-11T14:52:02.369Z] Blocked suspicious request from 62.169.18.6: GET /marketing/.env.production
[2025-11-11T14:52:02.480Z] Blocked suspicious request from 62.169.18.6: GET /production/.env.local
[2025-11-11T14:52:02.530Z] Blocked suspicious request from 62.169.18.6: GET /apis/.env.production
[2025-11-11T14:52:02.580Z] Blocked suspicious request from 62.169.18.6: GET /staging/.env.local
[2025-11-11T14:52:02.631Z] Blocked suspicious request from 62.169.18.6: GET /dev/.env.local
[2025-11-11T14:52:02.686Z] Blocked suspicious request from 62.169.18.6: GET /laravel/core/.env.local
